SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
BCONCEPTS, EQ, 01-Feb-2026,282.75,273.05,289.65,273.05,280.0,279.95,279.64,1303,3.64,180, 672, 51.57
BDL, EQ, 01-Feb-2026,1538.2,1505.0,1522.0,1370.0,1378.0,1384.1,1443.84,6865616,99128.33,199578, 1729318, 25.19
BEACON, ST, 01-Feb-2026,86.5,86.9,89.95,82.3,88.95,86.35,86.28,18000,15.53,17, 14000, 77.78
BEARDSELL, EQ, 01-Feb-2026,26.45,25.51,27.49,25.51,27.13,27.0,26.66,6264,1.67,169, 4060, 64.81
BECTORFOOD, EQ, 01-Feb-2026,222.78,222.78,222.78,216.1,221.07,220.52,220.08,122372,269.31,11352, 60409, 49.37
BEDMUTHA, EQ, 01-Feb-2026,127.71,133.0,133.0,121.97,122.6,123.43,125.29,13326,16.7,271, 9850, 73.92
BEL, EQ, 01-Feb-2026,449.0,455.0,461.65,404.1,421.95,425.35,436.15,101564062,442972.89,763566, 23111045, 22.76
BELLACASA, EQ, 01-Feb-2026,316.0,324.9,324.9,294.0,301.0,304.05,304.85,8988,27.4,882, 5885, 65.48
BELRISE, EQ, 01-Feb-2026,170.85,170.0,170.0,162.8,163.91,165.06,165.95,5258717,8726.87,35620, 2202383, 41.88
BEML, EQ, 01-Feb-2026,1794.9,1805.9,1858.9,1601.6,1690.0,1687.6,1769.35,723900,12808.36,57491, 189863, 26.23
BEPL, EQ, 01-Feb-2026,82.56,82.97,83.88,82.0,82.3,82.47,82.75,128156,106.04,1722, 69770, 54.44
BERGEPAINT, EQ, 01-Feb-2026,462.9,466.0,469.0,460.25,460.3,462.85,463.13,80214,371.5,4663, 39308, 49.00
BESTAGRO, BE, 01-Feb-2026,18.95,18.9,19.89,18.01,19.79,19.7,19.4,525937,102.03,1981, -, -
BETA, EQ, 01-Feb-2026,1465.4,1519.9,1519.9,1384.9,1407.0,1402.7,1436.18,6082,87.35,822, 4502, 74.02
BEWLTD, SM, 01-Feb-2026,98.8,99.3,100.55,97.35,100.5,100.3,99.8,7500,7.48,15, 5500, 73.33
BFINVEST, EQ, 01-Feb-2026,380.65,383.65,390.5,368.95,376.0,374.05,383.48,12178,46.7,510, 9545, 78.38
BFSI, EQ, 01-Feb-2026,28.23,28.72,28.84,27.27,27.59,27.57,28.0,656316,183.8,1304, 478454, 72.90
BFUTILITIE, BZ, 01-Feb-2026,519.1,519.1,545.05,514.6,519.0,521.5,537.73,19486,104.78,491, -, -
BGRENERGY, EQ, 01-Feb-2026,348.85,348.85,354.6,331.45,331.7,332.15,337.51,123548,416.99,2713, 67817, 54.89
BHADORA, SM, 01-Feb-2026,64.65,60.75,63.5,60.0,60.0,60.0,61.5,14400,8.86,11, 13200, 91.67
BHAGCHEM, EQ, 01-Feb-2026,211.68,214.0,229.9,207.56,212.25,216.86,222.09,314995,699.57,6303, 94438, 29.98
BHAGERIA, EQ, 01-Feb-2026,180.87,177.0,186.01,176.32,182.02,182.8,182.84,73167,133.78,1741, 46410, 63.43
BHAGYANGR, BE, 01-Feb-2026,176.01,167.21,167.21,167.21,167.21,167.21,167.21,61650,103.08,1127, -, -
BHANDARI, EQ, 01-Feb-2026,3.96,4.02,4.5,3.93,4.05,3.98,4.05,125414,5.08,454, 87186, 69.52
BHARATCOAL, EQ, 01-Feb-2026,39.82,40.0,41.74,38.17,39.21,39.23,40.23,65870345,26497.68,116702, 11870563, 18.02
BHARATFORG, EQ, 01-Feb-2026,1441.4,1450.0,1475.0,1323.8,1387.0,1377.6,1420.85,916303,13019.33,35839, 205563, 22.43
BHARATGEAR, EQ, 01-Feb-2026,112.47,114.0,115.04,109.21,109.52,109.91,111.5,22232,24.79,489, 10454, 47.02
BHARATRAS, EQ, 01-Feb-2026,1866.5,1860.1,1925.0,1801.0,1821.0,1830.1,1864.69,24406,455.1,4121, 5835, 23.91
BHARATSE, EQ, 01-Feb-2026,143.84,145.0,150.0,140.36,141.95,141.6,144.56,41930,60.61,1190, 17338, 41.35
BHARATWIRE, EQ, 01-Feb-2026,172.24,174.84,174.84,165.1,167.0,165.8,169.25,51399,86.99,1150, 30525, 59.39
BHARTIARTL, EQ, 01-Feb-2026,1968.7,1968.7,1976.4,1901.0,1934.0,1949.0,1950.77,2926225,57084.0,83964, 1598006, 54.61
BHARTIHEXA, EQ, 01-Feb-2026,1544.8,1560.0,1659.0,1535.0,1563.9,1597.8,1571.96,115936,1822.47,15139, 37466, 32.32
BHEL, EQ, 01-Feb-2026,262.7,264.0,269.4,241.65,252.0,252.1,258.65,16900179,43711.6,91783, 4773340, 28.24
BIGBLOC, EQ, 01-Feb-2026,57.13,56.75,59.19,56.18,58.47,58.11,57.99,92016,53.36,2050, 38548, 41.89
