SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 09-Feb-2026,105.5,105.2,106.8,105.11,106.8,106.8,106.44,4103,4.37,7, 4103, 100.00
20MICRONS, EQ, 09-Feb-2026,171.02,172.6,187.05,172.6,184.25,183.87,181.97,284350,517.43,5980, 127205, 44.74
21STCENMGM, EQ, 09-Feb-2026,40.31,41.11,41.11,39.55,39.66,39.88,40.35,10921,4.41,106, 7676, 70.29
360ONE, EQ, 09-Feb-2026,1113.9,1114.9,1140.0,1114.9,1138.0,1138.3,1129.29,357498,4037.19,13376, 181171, 50.68
3IINFOLTD, EQ, 09-Feb-2026,15.21,15.21,15.7,15.07,15.57,15.54,15.42,338687,52.23,1328, 232345, 68.60
3MINDIA, EQ, 09-Feb-2026,35190.0,35355.0,37740.0,35200.0,36400.0,36485.0,36103.39,7114,2568.39,4033, 3605, 50.67
3PLAND, EQ, 09-Feb-2026,34.56,34.56,36.15,34.06,35.54,35.49,34.81,9291,3.23,96, 7061, 76.00
563GS2026, GS, 09-Feb-2026,101.55,101.76,101.76,101.65,101.65,101.65,101.71,200,0.2,2, 100, 50.00
591GS2028, GS, 09-Feb-2026,99.14,99.14,99.14,99.14,99.14,99.14,99.14,200,0.2,2, 200, 100.00
5PAISA, EQ, 09-Feb-2026,329.25,329.6,343.7,329.3,336.35,340.8,336.2,45424,152.72,1951, 23632, 52.03
601GS2030, GS, 09-Feb-2026,97.44,98.5,98.5,98.5,98.5,98.5,98.5,100,0.1,1, 100, 100.00
610GS2031, GS, 09-Feb-2026,98.3,98.25,98.25,98.25,98.25,98.25,98.25,16325,16.04,6, 16325, 100.00
633GS2035, GS, 09-Feb-2026,99.6,97.85,100.0,97.85,99.0,99.0,98.07,122,0.12,3, 102, 83.61
63MOONS, EQ, 09-Feb-2026,634.2,634.0,727.75,633.95,710.0,709.85,698.1,1075259,7506.35,25671, 493395, 45.89
648GS2035, GS, 09-Feb-2026,99.75,99.75,99.9,99.75,99.9,99.9,99.8,450,0.45,3, 450, 100.00
667GS2035, GS, 09-Feb-2026,101.83,101.5,101.5,100.0,100.0,100.0,100.05,35779,35.8,6, 35779, 100.00
667GS2050, GS, 09-Feb-2026,92.55,93.35,93.35,92.5,92.75,92.5,92.74,2020,1.87,11, 2020, 100.00
676GS2061, GS, 09-Feb-2026,94.6,94.8,94.8,94.5,94.5,94.5,94.65,4,0.0,3, 2, 50.00
679GS2031, GS, 09-Feb-2026,100.31,99.76,100.5,99.76,100.5,100.5,100.13,1000,1.0,2, 500, 50.00
679GS2034A, GS, 09-Feb-2026,91.0,91.0,91.0,91.0,91.0,91.0,91.0,100,0.09,1, 100, 100.00
68GS2060, GS, 09-Feb-2026,94.0,94.0,94.0,94.0,94.0,94.0,94.0,5,0.0,1, 5, 100.00
690GS2065, GS, 09-Feb-2026,95.02,94.7,94.9,94.6,94.75,94.75,94.69,10477,9.92,19, 9977, 95.23
695GS2061, GS, 09-Feb-2026,94.7,94.75,94.75,93.36,93.36,93.36,93.6,21377,20.01,14, 21369, 99.96
697GR2034, GS, 09-Feb-2026,98.59,100.2,100.2,100.2,100.2,100.2,100.2,6,0.01,6, 6, 100.00
698GR2054, GS, 09-Feb-2026,94.1,94.05,94.05,94.0,94.0,94.0,94.02,555,0.52,3, 555, 100.00
699GS2026, GS, 09-Feb-2026,102.2,102.2,102.27,102.2,102.23,102.23,102.26,130,0.13,4, 115, 88.46
699GS2051, GS, 09-Feb-2026,96.55,96.6,96.6,96.6,96.6,96.6,96.6,14815,14.31,3, 14815, 100.00
702GS2027, GS, 09-Feb-2026,102.0,102.1,102.1,102.1,102.1,102.1,102.1,500,0.51,1, 500, 100.00
702GS2031, GS, 09-Feb-2026,101.31,101.31,103.25,101.31,103.25,103.25,103.14,1800,1.86,3, 1700, 94.44
704GS2029, GS, 09-Feb-2026,103.0,103.15,103.4,103.15,103.16,103.16,103.16,6200,6.4,3, 6100, 98.39
709GS2054, GS, 09-Feb-2026,97.0,97.6,97.6,96.77,97.0,97.03,97.27,11456,11.14,31, 11335, 98.94
709GS2074, GS, 09-Feb-2026,97.01,97.0,97.5,96.89,96.94,96.93,97.0,990815,961.06,598, 990815, 100.00
710GS2029, GS, 09-Feb-2026,104.45,104.49,104.9,104.41,104.85,104.87,104.54,15100,15.79,14, 15000, 99.34
717GS2030, GS, 09-Feb-2026,105.08,104.5,104.6,104.5,104.51,104.51,104.55,11030,11.53,3, 11030, 100.00
718GS2033, GS, 09-Feb-2026,106.1,106.2,106.2,106.09,106.09,106.09,106.17,354,0.38,2, 354, 100.00
718GS2037, GS, 09-Feb-2026,101.81,101.67,101.9,101.51,101.7,101.7,101.63,38932,39.57,21, 21500, 55.22
71GS2034, GS, 09-Feb-2026,103.5,103.62,103.62,103.6,103.6,103.6,103.6,2300,2.38,4, 2300, 100.00
723GS2039, GS, 09-Feb-2026,103.86,103.4,103.4,102.52,102.52,102.52,102.52,10010,10.26,2, 10000, 99.90
724GS2055, GS, 09-Feb-2026,101.9,101.5,101.99,100.9,101.99,101.99,101.3,11313,11.46,19, 11219, 99.17
725GS2063, GS, 09-Feb-2026,99.01,99.0,99.48,98.95,99.0,98.97,99.01,77823,77.05,66, 77823, 100.00
726GS2032, GS, 09-Feb-2026,105.7,106.6,106.6,106.15,106.3,106.3,106.42,20440,21.75,7, 20440, 100.00
726GS2033, GS, 09-Feb-2026,103.5,102.0,102.1,102.0,102.05,102.06,102.02,1371,1.4,3, 1371, 100.00
727GS2026, GS, 09-Feb-2026,101.75,101.76,102.75,101.76,101.76,101.76,102.01,409,0.42,5, 405, 99.02
732GS2030, GS, 09-Feb-2026,104.54,104.4,105.0,104.4,105.0,104.96,104.83,1300,1.36,5, 1300, 100.00
733GS2026, GS, 09-Feb-2026,102.26,102.26,102.75,102.26,102.75,102.75,102.73,3100,3.18,4, 3000, 96.77
734GS2064, GS, 09-Feb-2026,100.9,100.8,100.8,100.1,100.3,100.31,100.3,93126,93.41,29, 88126, 94.63
736GS2052, GS, 09-Feb-2026,103.87,103.0,103.0,103.0,103.0,103.0,103.0,100,0.1,2, 100, 100.00
738GS2027, GS, 09-Feb-2026,102.86,102.85,103.1,102.64,102.87,102.87,102.84,732091,752.9,80, 731980, 99.98
73GS2053, GS, 09-Feb-2026,99.99,100.99,100.99,99.01,100.0,99.99,99.8,10007,9.99,20, 6586, 65.81
741GS2036, GS, 09-Feb-2026,104.75,103.7,103.7,103.7,103.7,103.7,103.7,2000,2.07,1, 2000, 100.00
743GS2076, GS, 09-Feb-2026,101.99,101.5,101.5,101.5,101.5,101.5,101.5,1500,1.52,3, 1500, 100.00
746GS2073, GS, 09-Feb-2026,102.5,102.99,103.25,102.22,102.22,102.22,103.12,7032,7.25,9, 6943, 98.73
74GS2062, GS, 09-Feb-2026,102.1,102.1,102.1,101.5,101.5,101.5,101.63,2843,2.89,7, 2842, 99.96
754GS2036, GS, 09-Feb-2026,106.56,106.65,106.7,106.5,106.59,106.56,106.6,817612,871.54,98, 817112, 99.94
772GS2055, GS, 09-Feb-2026,109.0,108.8,109.0,108.8,109.0,108.93,108.93,600,0.65,2, 600, 100.00
813GS2045, GS, 09-Feb-2026,113.6,113.71,113.71,113.71,113.71,113.71,113.71,1,0.0,1, 1, 100.00
824GS2027, GS, 09-Feb-2026,106.19,106.24,106.3,106.13,106.3,106.3,106.14,1036,1.1,4, 1036, 100.00
826GS2027, GS, 09-Feb-2026,104.87,105.0,105.0,105.0,105.0,105.0,105.0,3,0.0,2, 3, 100.00
828GS2032, GS, 09-Feb-2026,109.51,109.23,109.23,109.0,109.0,109.0,109.05,9700,10.58,6, 9700, 100.00
832GS2032, GS, 09-Feb-2026,107.75,107.0,107.4,107.0,107.4,107.4,107.0,28644,30.65,2, 28644, 100.00
833GS2026, GS, 09-Feb-2026,101.5,100.01,100.5,100.01,100.5,100.5,100.26,24,0.02,2, 12, 50.00
83GS2042, GS, 09-Feb-2026,114.5,109.0,109.0,108.9,109.0,109.0,108.95,1984,2.16,7, 1984, 100.00
