ISIN,TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
IN0020200104,2026-02-05,2026-02-05,CM,NSE,STK,19078,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,16200.0,16599.0,15305.0,15631.38,15698.0,16212.07,,15630.96,,,1164,18154819.32,162,F1,1,,,,,
IN0020200286,2026-02-05,2026-02-05,CM,NSE,STK,1342,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15999.0,15999.0,15401.0,15647.47,15799.0,16240.26,,15647.47,,,613,9598836.94,141,F1,1,,,,,
IN0020210053,2026-02-05,2026-02-05,CM,NSE,STK,3742,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15769.7,15982.88,15403.0,15635.52,15690.0,16202.5,,15628.82,,,1243,19413852.48,280,F1,1,,,,,
IN0020210061,2026-02-05,2026-02-05,CM,NSE,STK,3743,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15899.0,15899.0,15525.0,15811.0,15811.0,16305.61,,15811.0,,,221,3456409.82,52,F1,1,,,,,
IN0020210087,2026-02-05,2026-02-05,CM,NSE,STK,3800,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15202.0,15779.0,15202.0,15658.73,15660.0,16226.75,,15658.73,,,344,5359261.35,76,F1,1,,,,,
IN0020210145,2026-02-05,2026-02-05,CM,NSE,STK,5575,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15982.0,16200.0,15504.0,15688.94,15656.0,16189.16,,15675.93,,,604,9461146.22,156,F1,1,,,,,
IN0020210178,2026-02-05,2026-02-05,CM,NSE,STK,6518,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,16220.0,16220.0,15402.03,15781.0,15749.0,16224.41,,15781.0,,,339,5312998.84,99,F1,1,,,,,
IN0020180033,2026-02-05,2026-02-05,CM,NSE,STK,2891,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,15998.97,15998.99,15700.0,15868.05,15836.11,16161.69,,15868.05,,,53,843739.42,11,F1,1,,,,,
IN0020180249,2026-02-05,2026-02-05,CM,NSE,STK,5960,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15600.0,15650.0,15600.0,15600.0,15600.0,16101.0,,15600.0,,,30,468850.0,7,F1,1,,,,,
IN0020180314,2026-02-05,2026-02-05,CM,NSE,STK,6355,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15748.0,15748.0,15748.0,15748.0,15748.0,16204.41,,15748.0,,,1,15748.0,1,F1,1,,,,,
