ISIN,TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
IN0020200104,2026-02-11,2026-02-11,CM,NSE,STK,19078,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15800.0,15895.0,15800.0,15800.0,15800.0,15839.25,,15800.0,,,999,15833550.07,44,F1,1,,,,,
IN0020200286,2026-02-11,2026-02-11,CM,NSE,STK,1342,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15800.16,15914.0,15752.0,15800.01,15800.01,15730.16,,15806.64,,,343,5422702.74,50,F1,1,,,,,
IN0020210053,2026-02-11,2026-02-11,CM,NSE,STK,3742,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15899.0,15955.01,15802.0,15866.66,15850.0,15800.55,,15853.5,,,898,14293950.92,142,F1,1,,,,,
IN0020210061,2026-02-11,2026-02-11,CM,NSE,STK,3743,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15795.0,15998.0,15721.0,15795.5,15780.0,15792.16,,15795.5,,,396,6271187.14,103,F1,1,,,,,
IN0020210087,2026-02-11,2026-02-11,CM,NSE,STK,3800,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15733.12,15974.0,15733.12,15771.45,15760.0,15733.12,,15771.45,,,149,2355118.62,29,F1,1,,,,,
IN0020210145,2026-02-11,2026-02-11,CM,NSE,STK,5575,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15716.2,15999.0,15605.01,15854.74,15850.0,15806.27,,15854.74,,,278,4414381.45,71,F1,1,,,,,
IN0020210178,2026-02-11,2026-02-11,CM,NSE,STK,6518,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15720.0,15899.0,15623.0,15813.82,15810.11,15720.36,,15810.58,,,309,4886137.94,58,F1,1,,,,,
IN0020180033,2026-02-11,2026-02-11,CM,NSE,STK,2891,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,15899.0,15899.0,15526.0,15526.0,15526.0,15699.23,,15526.0,,,8,125405.06,4,F1,1,,,,,
IN0020180249,2026-02-11,2026-02-11,CM,NSE,STK,5960,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15799.0,15799.0,15799.0,15799.0,15799.0,15700.0,,15799.0,,,50,789950.0,17,F1,1,,,,,
IN0020180314,2026-02-11,2026-02-11,CM,NSE,STK,6355,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15749.0,15889.0,15749.0,15815.0,15815.0,15200.0,,15815.0,,,20,315802.0,8,F1,1,,,,,
IN0020190073,2026-02-11,2026-02-11,CM,NSE,STK,10261,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15942.99,16296.0,15942.99,16296.0,16296.0,15942.99,,15203.0,,,2,32238.99,2,F1,1,,,,,
