ISIN,TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
IN0020200104,2026-02-06,2026-02-06,CM,NSE,STK,19078,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15100.0,15500.0,15100.0,15275.05,15290.0,15631.38,,15275.05,,,1106,16915912.07,95,F1,1,,,,,
IN0020200286,2026-02-06,2026-02-06,CM,NSE,STK,1342,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15960.42,15960.42,15100.0,15348.5,15349.0,15647.47,,15351.67,,,365,5600823.62,127,F1,1,,,,,
IN0020210053,2026-02-06,2026-02-06,CM,NSE,STK,3742,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15599.0,15599.0,15292.0,15302.97,15293.0,15635.52,,15302.97,,,1479,22678495.25,283,F1,1,,,,,
IN0020210061,2026-02-06,2026-02-06,CM,NSE,STK,3743,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15810.0,15810.0,15213.01,15459.39,15458.79,15811.0,,15446.36,,,255,3939803.66,80,F1,1,,,,,
IN0020210087,2026-02-06,2026-02-06,CM,NSE,STK,3800,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15399.0,15399.99,15300.0,15316.41,15320.0,15658.73,,15316.41,,,84,1288241.8,40,F1,1,,,,,
IN0020210145,2026-02-06,2026-02-06,CM,NSE,STK,5575,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,16002.72,16002.72,15232.0,15358.61,15398.0,15688.94,,15358.61,,,571,8775734.26,111,F1,1,,,,,
IN0020210178,2026-02-06,2026-02-06,CM,NSE,STK,6518,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15775.0,15775.0,15225.0,15273.33,15369.0,15781.0,,15317.3,,,205,3157590.15,59,F1,1,,,,,
IN0020180033,2026-02-06,2026-02-06,CM,NSE,STK,2891,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,15836.11,15836.11,15301.0,15410.61,15410.0,15868.05,,15410.61,,,40,616064.71,10,F1,1,,,,,
IN0020180249,2026-02-06,2026-02-06,CM,NSE,STK,5960,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15199.0,15394.0,15199.0,15306.0,15306.0,15600.0,,15306.0,,,62,946827.0,12,F1,1,,,,,
IN0020180314,2026-02-06,2026-02-06,CM,NSE,STK,6355,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15199.0,15200.0,15199.0,15200.0,15200.0,15748.0,,15200.0,,,5,75998.0,2,F1,1,,,,,
IN0020190073,2026-02-06,2026-02-06,CM,NSE,STK,10261,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15044.0,15343.0,15044.0,15343.0,15343.0,15749.99,,15343.0,,,25,377868.52,9,F1,1,,,,,
IN0020190081,2026-02-06,2026-02-06,CM,NSE,STK,11154,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15540.0,15550.0,15050.0,15299.0,15299.0,16000.14,,15299.0,,,34,518802.2,11,F1,1,,,,,
IN0020190107,2026-02-06,2026-02-06,CM,NSE,STK,12904,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15874.7,15874.7,15451.0,15873.7,15873.7,15874.65,,15873.7,,,46,722445.3,16,F1,1,,,,,
IN0020190115,2026-02-06,2026-02-06,CM,NSE,STK,13209,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,14505.55,15397.0,14505.55,15192.1,15192.1,15699.0,,15329.15,,,53,811036.61,14,F1,1,,,,,
IN0020180462,2026-02-06,2026-02-06,CM,NSE,STK,8308,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,15299.0,15299.0,15299.0,15299.0,15299.0,15599.0,,15524.0,,,1,15299.0,1,F1,1,,,,,
IN0020190370,2026-02-06,2026-02-06,CM,NSE,STK,13981,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,15751.36,15751.36,15751.36,15751.36,15751.36,15673.0,,15751.36,,,1,15751.36,1,F1,1,,,,,
IN0020180561,2026-02-06,2026-02-06,CM,NSE,STK,8766,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,16550.1,18284.0,16550.1,18284.0,18284.0,18389.0,,18284.0,,,33,547887.2,13,F1,1,,,,,
IN0020190388,2026-02-06,2026-02-06,CM,NSE,STK,14252,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,14550.01,15366.0,14301.0,15305.0,15305.0,15699.99,,15305.0,,,100,1516398.55,26,F1,1,,,,,
IN0020190461,2026-02-06,2026-02-06,CM,NSE,STK,15432,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,15005.01,15699.0,15005.01,15349.0,15349.0,15878.0,,15349.0,,,37,564358.03,10,F1,1,,,,,
IN0020200062,2026-02-06,2026-02-06,CM,NSE,STK,18862,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15598.0,15598.0,15115.01,15323.24,15338.0,15656.02,,15329.17,,,581,8894731.63,174,F1,1,,,,,
IN0020200088,2026-02-06,2026-02-06,CM,NSE,STK,18972,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15339.0,15379.0,15274.99,15329.86,15329.0,15645.19,,15334.82,,,346,5299848.81,55,F1,1,,,,,
IN0020200146,2026-02-06,2026-02-06,CM,NSE,STK,22242,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,15650.0,15650.0,15220.0,15304.93,15296.0,15652.65,,15304.93,,,311,4759067.51,86,F1,1,,,,,
IN0020190545,2026-02-06,2026-02-06,CM,NSE,STK,17664,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,15700.0,15700.0,15500.0,15500.0,15500.0,15422.5,,15500.0,,,3,46700.0,3,F1,1,,,,,
IN0020200161,2026-02-06,2026-02-06,CM,NSE,STK,22385,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,15398.0,15899.0,15159.66,15326.8,15359.98,15659.66,,15330.77,,,2414,37057400.75,430,F1,1,,,,,
IN0020200195,2026-02-06,2026-02-06,CM,NSE,STK,149,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,15285.23,15599.0,15200.0,15301.82,15300.0,15677.16,,15301.82,,,455,6966796.65,129,F1,1,,,,,
IN0020200203,2026-02-06,2026-02-06,CM,NSE,STK,834,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,15698.0,15698.0,15111.0,15299.23,15328.0,15670.82,,15312.14,,,164,2504645.33,42,F1,1,,,,,
IN0020190537,2026-02-06,2026-02-06,CM,NSE,STK,17110,SGBJ28VIII,GB,,,,,2.50%GOLDBONDS2028SR-VIII,14505.0,15594.0,14401.0,15592.0,15592.0,15829.0,,15592.0,,,19,284962.0,11,F1,1,,,,,
IN0020190552,2026-02-06,2026-02-06,CM,NSE,STK,18451,SGBMAR28X,GB,,,,,2.50%GOLDBONDS2028SR-X,15199.0,15444.0,15199.0,15349.0,15349.0,15690.0,,15349.0,,,45,690888.9,20,F1,1,,,,,
IN0020210111,2026-02-06,2026-02-06,CM,NSE,STK,5113,SGBJUL29IV,GB,,,,,2.50%GOLDBONDS2029SR-IV,15688.3,15699.0,15148.02,15311.62,15310.0,15689.0,,15311.62,,,142,2177093.88,45,F1,1,,,,,
IN0020200377,2026-02-06,2026-02-06,CM,NSE,STK,1920,SGBJAN29IX,GB,,,,,2.50%GOLDBONDS2029SR-IX,15502.0,15502.0,15210.0,15304.95,15300.0,15740.91,,15304.24,,,1233,18868029.41,148,F1,1,,,,,
IN0020210129,2026-02-06,2026-02-06,CM,NSE,STK,5455,SGBAUG29V,GB,,,,,2.50%GOLDBONDS2029SR-V,15849.0,15920.01,15611.0,15786.47,15710.0,15933.24,,15786.47,,,131,2071860.08,53,F1,1,,,,,
IN0020210228,2026-02-06,2026-02-06,CM,NSE,STK,7098,SGBD29VIII,GB,,,,,2.50%GOLDBONDS2029SR-VIII,15402.0,15680.0,15400.0,15590.5,15590.0,15929.88,,15578.19,,,181,2824568.51,62,F1,1,,,,,
IN0020200385,2026-02-06,2026-02-06,CM,NSE,STK,2003,SGBJAN29X,GB,,,,,2.50%GOLDBONDS2029SR-X,15699.0,15699.0,15230.0,15298.5,15290.0,15668.66,,15292.68,,,312,4767985.24,74,F1,1,,,,,
IN0020200393,2026-02-06,2026-02-06,CM,NSE,STK,2200,SGBFEB29XI,GB,,,,,2.50%GOLDBONDS2029SR-XI,15305.0,15549.0,15300.0,15348.17,15380.0,15675.88,,15359.14,,,59,906896.73,31,F1,1,,,,,
IN0020200427,2026-02-06,2026-02-06,CM,NSE,STK,2810,SGBMR29XII,GB,,,,,2.50%GOLDBONDS2029SR-XII,15199.0,15380.0,15150.0,15304.15,15329.0,15606.46,,15304.28,,,506,7728339.82,115,F1,1,,,,,
