ISIN,TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
INE482B01010,2026-02-04,2026-02-04,CM,NSE,STK,19292,TERASOFT,EQ,,,,,TERA SOFTWARE LIMITED,454.7,454.7,416.05,420.9,418.0,433.05,,421.0,,,35719,15769547.55,1026,F1,1,,,,,
INE435C01024,2026-02-04,2026-02-04,CM,NSE,STK,11549,TEXINFRA,EQ,,,,,TEXMACO INFRA & HOLDG LTD,97.75,98.98,95.81,97.73,97.5,97.73,,97.74,,,61167,5952603.96,959,F1,1,,,,,
INE621L01012,2026-02-04,2026-02-04,CM,NSE,STK,21828,TEXRAIL,EQ,,,,,TEXMACO RAIL & ENG. LTD.,122.0,124.2,120.55,123.74,123.9,121.55,,123.75,,,1098823,134788605.91,8187,F1,1,,,,,
INE141K01013,2026-02-04,2026-02-04,CM,NSE,STK,18214,TEXMOPIPES,EQ,,,,,TEXMO PIPE & PRODUCTS LTD,46.85,46.85,45.25,45.55,45.8,45.45,,45.55,,,32784,1502094.39,412,F1,1,,,,,
INE797H01018,2026-02-04,2026-02-04,CM,NSE,STK,14607,TGBHOTELS,EQ,,,,,TGB BANQUETS&HOTELS LTD,9.46,9.46,9.11,9.24,9.11,9.26,,9.14,,,3494,32792.63,66,F1,1,,,,,
INE0QJL01014,2026-02-04,2026-02-04,CM,NSE,STK,22777,TCL,SM,,,,,THAAI CASTING LIMITED,92.95,92.95,90.15,91.75,92.35,93.0,,91.75,,,4000,368120.0,5,F1,800,,,,,
INE085J01014,2026-02-04,2026-02-04,CM,NSE,STK,18118,THANGAMAYL,EQ,,,,,THANGAMAYIL JEWELLERY LTD,3195.0,3350.0,3165.9,3283.0,3323.0,3183.8,,3283.05,,,110653,358587376.6,13471,F1,1,,,,,
INE294Z01018,2026-02-04,2026-02-04,CM,NSE,STK,9014,ANUP,EQ,,,,,THE ANUP ENGINEERING LTD,2015.1,2015.1,1870.0,1938.2,1940.0,2072.0,,1938.15,,,98686,189861078.9,12211,F1,1,,,,,
INE319B01014,2026-02-04,2026-02-04,CM,NSE,STK,7919,BYKE,EQ,,,,,THE BYKE HOSPITALITY LTD,51.1,54.56,51.1,52.62,52.99,52.66,,52.61,,,88998,4734888.24,974,F1,1,,,,,
INE017A01032,2026-02-04,2026-02-04,CM,NSE,STK,13776,GESHIP,EQ,,,,,THE GE SHPG.LTD,1220.0,1252.9,1214.7,1238.8,1238.0,1227.3,,1238.8,,,450643,560075899.1,36616,F1,1,,,,,
INE646C01018,2026-02-04,2026-02-04,CM,NSE,STK,17770,GROBTEA,EQ,,,,,THE GROB TEA COMPANY LTD,943.2,960.0,943.2,957.0,957.0,943.2,,957.0,,,87,82753.8,24,F1,1,,,,,
INE127B01011,2026-02-04,2026-02-04,CM,NSE,STK,8568,HITECHGEAR,BE,,,,,THE HI-TECH GEARS LIMITED,685.0,690.0,675.0,677.6,675.0,685.25,,677.6,,,1556,1058921.65,34,F1,1,,,,,
INE383A01012,2026-02-04,2026-02-04,CM,NSE,STK,1515,INDIACEM,EQ,,,,,THE INDIA CEMENTS LIMITED,455.0,475.0,455.0,463.75,468.95,460.75,,463.75,,,306840,143173681.6,13368,F1,1,,,,,
INE053A01029,2026-02-04,2026-02-04,CM,NSE,STK,1512,INDHOTEL,EQ,,,,,THE INDIAN HOTELS CO. LTD,684.9,687.6,671.1,686.15,686.5,681.5,,686.15,,,878517,600942932.35,30829,F1,1,,,,,
INE924D01017,2026-02-04,2026-02-04,CM,NSE,STK,21427,THEINVEST,EQ,,,,,THE INVEST TRUST OF IND L,104.78,108.2,99.1,104.89,105.5,102.36,,104.9,,,311897,32696035.47,1281,F1,1,,,,,
INE470Y01017,2026-02-04,2026-02-04,CM,NSE,STK,399,NIACL,EQ,,,,,THE NEW INDIA ASSU CO LTD,147.7,149.71,145.92,149.22,149.45,147.65,,149.2,,,282890,41912868.05,6408,F1,1,,,,,
INE431F01018,2026-02-04,2026-02-04,CM,NSE,STK,10321,PKTEA,EQ,,,,,THE P K TEA PROD CO LTD,718.0,718.0,685.0,709.0,709.0,689.2,,709.0,,,86,59847.55,18,F1,1,,,,,
INE211B01039,2026-02-04,2026-02-04,CM,NSE,STK,14552,PHOENIXLTD,EQ,,,,,THE PHOENIX MILLS LTD,1686.4,1747.8,1666.1,1719.1,1712.0,1679.4,,1719.1,,,789015,1357244242.4,54000,F1,1,,,,,
INE331A01037,2026-02-04,2026-02-04,CM,NSE,STK,2043,RAMCOCEM,EQ,,,,,THE RAMCO CEMENTS LIMITED,1115.0,1157.0,1115.0,1154.0,1156.0,1134.4,,1154.05,,,131537,150868880.2,8202,F1,1,,,,,
INE301D01026,2026-02-04,2026-02-04,CM,NSE,STK,2939,RUBYMILLS,EQ,,,,,THE RUBY MILLS LTD,209.2,209.2,205.96,207.16,206.65,207.12,,207.1,,,5345,1107200.7,172,F1,1,,,,,
INE683A01023,2026-02-04,2026-02-04,CM,NSE,STK,5948,SOUTHBANK,EQ,,,,,THE SOUTH INDIAN BANK LTD,39.23,41.14,38.9,40.82,40.74,39.3,,40.82,,,31566682,1278087318.85,50547,F1,1,,,,,
INE655A01013,2026-02-04,2026-02-04,CM,NSE,STK,10948,STCINDIA,EQ,,,,,THE STATE TRADING CORPN,119.79,124.0,119.79,121.63,121.5,120.39,,121.65,,,63108,7730795.25,1527,F1,1,,,,,
INE071E01023,2026-02-04,2026-02-04,CM,NSE,STK,19578,UGARSUGAR,EQ,,,,,THE UGAR SUGAR WORKS LTD,37.39,38.09,36.5,37.75,37.8,37.14,,37.75,,,78928,2964750.31,1026,F1,1,,,,,
INE215F01023,2026-02-04,2026-02-04,CM,NSE,STK,20481,WIPL,EQ,,,,,THE WESTERN INDIA PLY LTD,154.0,154.0,147.1,152.84,152.96,150.04,,152.84,,,1473,220750.98,25,F1,1,,,,,
INE121N01019,2026-02-04,2026-02-04,CM,NSE,STK,19279,THEJO,EQ,,,,,THEJO ENGINEERING LIMITED,1820.0,1820.0,1728.3,1759.2,1752.0,1791.8,,1759.2,,,22784,40050325.6,1009,F1,1,,,,,
INE083B01024,2026-02-04,2026-02-04,CM,NSE,STK,14485,THEMISMED,EQ,,,,,THEMIS MEDICARE LTD.,83.31,85.77,80.61,84.4,84.5,81.85,,84.4,,,84803,7105578.79,1618,F1,1,,,,,
INE152A01029,2026-02-04,2026-02-04,CM,NSE,STK,3475,THERMAX,EQ,,,,,THERMAX LTD,2949.0,2963.9,2886.2,2949.9,2955.4,2950.0,,2949.75,,,119037,349590075.2,14388,F1,1,,,,,
INE0SHE01019,2026-02-04,2026-02-04,CM,NSE,STK,25648,THESL,SM,,,,,THINKING HATS ENTER SOL L,19.4,19.4,19.4,19.4,19.4,20.4,,19.4,,,9000,174600.0,3,F1,3000,,,,,
INE338A01024,2026-02-04,2026-02-04,CM,NSE,STK,3496,TIRUMALCHM,EQ,,,,,THIRUMALAI CHEMICALS LTD,195.7,207.48,193.66,203.82,203.5,195.4,,203.8,,,271058,55107063.16,4987,F1,1,,,,,
INE332A01027,2026-02-04,2026-02-04,CM,NSE,STK,3481,THOMASCOOK,EQ,,,,,THOMAS COOK (INDIA) LTD,121.5,123.14,119.32,120.28,119.7,121.73,,120.3,,,828917,100318368.85,9349,F1,1,,,,,
INE480M01011,2026-02-04,2026-02-04,CM,NSE,STK,31017,THOMASCOTT,EQ,,,,,THOMAS SCOTT (INDIA) LTD,332.0,339.1,326.05,331.45,332.0,332.0,,331.45,,,10019,3328528.05,1102,F1,1,,,,,
INE594H01019,2026-02-04,2026-02-04,CM,NSE,STK,17032,THYROCARE,EQ,,,,,THYROCARE TECH LTD,385.0,399.0,376.5,397.0,398.9,389.95,,396.95,,,670093,258487347.75,31050,F1,1,,,,,
