ISIN,TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
IN0020200104,2026-02-10,2026-02-10,CM,NSE,STK,19078,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15755.0,15840.0,15550.0,15839.25,15840.0,15754.89,,15839.25,,,150,2356120.27,32,F1,1,,,,,
IN0020200286,2026-02-10,2026-02-10,CM,NSE,STK,1342,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15779.0,15849.0,15721.0,15730.16,15750.0,15727.75,,15727.84,,,91,1436786.02,37,F1,1,,,,,
IN0020210053,2026-02-10,2026-02-10,CM,NSE,STK,3742,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15813.5,15944.0,15710.0,15800.55,15780.0,15782.25,,15801.14,,,1121,17714501.34,186,F1,1,,,,,
IN0020210061,2026-02-10,2026-02-10,CM,NSE,STK,3743,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15766.0,15815.0,15651.0,15792.16,15795.0,15732.34,,15792.16,,,234,3689100.01,77,F1,1,,,,,
IN0020210087,2026-02-10,2026-02-10,CM,NSE,STK,3800,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15752.45,15810.0,15699.99,15733.12,15735.01,15766.22,,15733.12,,,143,2250360.92,37,F1,1,,,,,
IN0020210145,2026-02-10,2026-02-10,CM,NSE,STK,5575,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15820.0,15830.0,15712.0,15806.27,15803.0,15768.22,,15805.83,,,677,10684703.34,129,F1,1,,,,,
IN0020210178,2026-02-10,2026-02-10,CM,NSE,STK,6518,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15800.0,15974.0,15622.0,15720.36,15653.0,15800.0,,15720.36,,,209,3294826.33,67,F1,1,,,,,
IN0020180033,2026-02-10,2026-02-10,CM,NSE,STK,2891,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,15699.0,15700.0,15606.06,15699.23,15700.0,15599.9,,15699.23,,,79,1236538.32,15,F1,1,,,,,
IN0020180249,2026-02-10,2026-02-10,CM,NSE,STK,5960,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15517.01,15700.0,15517.01,15700.0,15700.0,15789.0,,15700.0,,,12,187847.03,5,F1,1,,,,,
IN0020190073,2026-02-10,2026-02-10,CM,NSE,STK,10261,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15459.0,15942.99,15459.0,15942.99,15942.99,15343.0,,15942.99,,,74,1147288.01,5,F1,1,,,,,
IN0020190081,2026-02-10,2026-02-10,CM,NSE,STK,11154,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15800.0,15800.0,15749.0,15750.0,15750.0,15700.0,,15750.0,,,43,677390.0,17,F1,1,,,,,
IN0020190107,2026-02-10,2026-02-10,CM,NSE,STK,12904,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15789.0,15914.83,15750.0,15813.81,15772.22,15879.0,,15876.12,,,88,1390711.33,17,F1,1,,,,,
IN0020190115,2026-02-10,2026-02-10,CM,NSE,STK,13209,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,15770.75,15795.0,15691.01,15700.0,15700.0,15850.0,,15605.5,,,44,692246.52,7,F1,1,,,,,
IN0020180462,2026-02-10,2026-02-10,CM,NSE,STK,8308,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,15803.12,15803.12,15601.0,15701.0,15701.0,15469.11,,15675.0,,,60,942885.1,12,F1,1,,,,,
IN0020190370,2026-02-10,2026-02-10,CM,NSE,STK,13981,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,15749.0,15780.0,15700.01,15757.65,15751.0,15501.0,,15757.65,,,153,2410701.01,18,F1,1,,,,,
IN0020180561,2026-02-10,2026-02-10,CM,NSE,STK,8766,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,17299.0,17299.0,17299.0,17299.0,17299.0,17699.0,,17299.0,,,7,121093.0,4,F1,1,,,,,
IN0020190388,2026-02-10,2026-02-10,CM,NSE,STK,14252,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,15601.0,15650.0,15600.0,15650.0,15650.0,15699.0,,15650.0,,,11,171904.0,4,F1,1,,,,,
IN0020190461,2026-02-10,2026-02-10,CM,NSE,STK,15432,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,15705.0,15705.0,15701.0,15701.0,15701.0,15699.91,,15701.0,,,2,31406.0,2,F1,1,,,,,
IN0020200062,2026-02-10,2026-02-10,CM,NSE,STK,18862,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15899.0,15900.0,15721.0,15802.66,15820.0,15797.9,,15789.53,,,173,2736105.37,61,F1,1,,,,,
